Date,Time,TimeDiff
22/Apr/08,09:16:47,27
22/Apr/08,09:17:14,27
22/Apr/08,09:17:41,27
22/Apr/08,09:18:08,26
22/Apr/08,09:18:34,28
22/Apr/08,09:19:02,27
22/Apr/08,09:19:29,29
22/Apr/08,09:19:58,26
22/Apr/08,09:20:24,27
22/Apr/08,09:20:51,27
22/Apr/08,09:21:18,29
22/Apr/08,09:21:47,26
22/Apr/08,09:22:13,131
22/Apr/08,09:24:24,26
22/Apr/08,09:24:50,28
22/Apr/08,09:25:18,26
22/Apr/08,09:25:44,28
22/Apr/08,09:26:12,26
22/Apr/08,09:26:38,27
22/Apr/08,09:27:05,27
22/Apr/08,09:27:32,28
22/Apr/08,09:28:00,26
22/Apr/08,09:28:26,27
22/Apr/08,09:28:53,27
22/Apr/08,09:29:20,27
22/Apr/08,09:29:47,26
22/Apr/08,09:30:13,28
22/Apr/08,09:30:41,26
22/Apr/08,09:31:07,27
22/Apr/08,09:31:34,26
22/Apr/08,09:32:00,28
22/Apr/08,09:32:28,27
22/Apr/08,09:32:55,27
22/Apr/08,09:33:22,26
22/Apr/08,09:33:48,28
22/Apr/08,09:34:16,26
22/Apr/08,09:34:42,27
22/Apr/08,09:35:09,27
22/Apr/08,09:35:36,27
22/Apr/08,09:36:03,26
22/Apr/08,09:36:29,27
22/Apr/08,09:36:56,26
22/Apr/08,09:37:22,26
22/Apr/08,09:37:48,210
22/Apr/08,09:41:18,27
22/Apr/08,09:41:45,27
22/Apr/08,09:42:12,26
22/Apr/08,09:42:38,27
22/Apr/08,09:43:05,28
22/Apr/08,09:43:33,26
22/Apr/08,09:43:59,25
22/Apr/08,09:44:24,29
22/Apr/08,09:44:53,27
22/Apr/08,09:45:20,27
22/Apr/08,09:45:47,29
22/Apr/08,09:46:16,26
22/Apr/08,09:46:42,27
22/Apr/08,09:47:09,27
22/Apr/08,09:47:36,26
22/Apr/08,09:48:02,27
22/Apr/08,09:48:29,28
22/Apr/08,09:48:57,28
22/Apr/08,09:49:25,26
22/Apr/08,09:49:51,27
22/Apr/08,09:50:18,28
22/Apr/08,09:50:46,25
22/Apr/08,09:51:11,28
22/Apr/08,09:51:39,27
22/Apr/08,09:52:06,27
22/Apr/08,09:52:33,26
